Frequência (Hz)	Nível (dB)
11541,796875	-53,598244
11584,863281	-55,069180
11627,929688	-53,035763
11670,996094	-52,043945
11714,062500	-55,545513
11757,128906	-53,961407
11800,195312	-52,780830
11843,261719	-52,478561
11886,328125	-55,006371
11929,394531	-53,642605
11972,460938	-51,517471
12015,527344	-53,950912
12058,593750	-55,781590
12101,660156	-56,941734
12144,726562	-53,306377
12187,792969	-52,414093
12230,859375	-54,737312
12273,925781	-52,624275
12316,992188	-52,210094
12360,058594	-52,240417
12403,125000	-52,030666
12446,191406	-52,920403
12489,257812	-51,408173
12532,324219	-51,108772
12575,390625	-52,647388
12618,457031	-56,212391
12661,523438	-57,546726
12704,589844	-51,924927
12747,656250	-48,819218
12790,722656	-48,923649
12833,789062	-52,440495
12876,855469	-53,695522
12919,921875	-53,917316
12962,988281	-53,158180
13006,054688	-52,512978
13049,121094	-49,655994
13092,187500	-50,857800
13135,253906	-54,909122
13178,320312	-51,941151
13221,386719	-51,171841
13264,453125	-53,747532
13307,519531	-53,891140
13350,585938	-51,650841
13393,652344	-55,001652
13436,718750	-56,243504
13479,785156	-51,592850
13522,851562	-52,037670
13565,917969	-54,042957
13608,984375	-52,462185
13652,050781	-54,810387
13695,117188	-55,554859
13738,183594	-56,198898
13781,250000	-56,985962
13824,316406	-58,747086
13867,382812	-55,532864
13910,449219	-52,235920
13953,515625	-53,118774
13996,582031	-53,424747
14039,648438	-53,412018
14082,714844	-53,088486
14125,781250	-52,911621
14168,847656	-52,918991
14211,914062	-52,952999
14254,980469	-53,531258
14298,046875	-52,314373
14341,113281	-52,922665
14384,179688	-54,559498
14427,246094	-54,861862
14470,312500	-53,718578
14513,378906	-51,762764
14556,445312	-50,603722
14599,511719	-52,551262
14642,578125	-54,952698
14685,644531	-55,300827
14728,710938	-55,927151
14771,777344	-55,874649
14814,843750	-55,720142
14857,910156	-53,883072
14900,976562	-53,627151
14944,042969	-56,140991
14987,109375	-58,029137
15030,175781	-57,310696
15073,242188	-55,028919
15116,308594	-51,808563
15159,375000	-53,632164
15202,441406	-56,649651
15245,507812	-55,250751
15288,574219	-56,004417
15331,640625	-57,656986
15374,707031	-60,144413
15417,773438	-58,578350
15460,839844	-57,093613
15503,906250	-53,947250
15546,972656	-53,206772
15590,039062	-55,619736
15633,105469	-54,296963
15676,171875	-55,329506
15719,238281	-57,386528
15762,304688	-54,294209
15805,371094	-50,128342
15848,437500	-51,846928
15891,503906	-52,089066
15934,570312	-48,970692
15977,636719	-50,538879
16020,703125	-53,232727
16063,769531	-54,208481
16106,835938	-52,521046
16149,902344	-51,745872
16192,968750	-48,104656
16236,035156	-48,698627
16279,101562	-50,714680
16322,167969	-51,718365
16365,234375	-50,498661
16408,300781	-51,270920
16451,367188	-53,243240
16494,433594	-52,399826
16537,500000	-52,180096
16580,566406	-56,949715
16623,632812	-56,679932
16666,699219	-52,844772
16709,765625	-54,432354
16752,832031	-56,372372
16795,898438	-55,888042
16838,964844	-54,212837
16882,031250	-51,979290
16925,097656	-50,120140
16968,164062	-49,989143
17011,230469	-49,583122
17054,296875	-49,976555
17097,363281	-50,549217
17140,429688	-50,766811
17183,496094	-51,357792
17226,562500	-52,729187
17269,628906	-53,664745
17312,695312	-55,872437
17355,761719	-56,841125
17398,828125	-56,344551
17441,894531	-56,121590
17484,960938	-55,282822
17528,027344	-55,621712
17571,093750	-55,359951
17614,160156	-53,917027
17657,226562	-53,945530
17700,292969	-55,067276
17743,359375	-54,115273
17786,425781	-54,642677
17829,492188	-56,898777
17872,558594	-56,248837
17915,625000	-55,111168
17958,691406	-53,660767
18001,757812	-53,443317
18044,824219	-54,927109
18087,890625	-58,642677
18130,957031	-57,741577
18174,023438	-53,960949
18217,089844	-53,900597
18260,156250	-58,894123
18303,222656	-59,483128
18346,289062	-57,547905
18389,355469	-58,616917
18432,421875	-56,858948
18475,488281	-58,699863
18518,554688	-55,966125
18561,621094	-54,437092
18604,687500	-54,673241
18647,753906	-54,126526
18690,820312	-55,868958
18733,886719	-55,629005
18776,953125	-58,970078
18820,019531	-58,807652
18863,085938	-56,037098
18906,152344	-53,336903
18949,218750	-51,606194
18992,285156	-54,125996
19035,351562	-53,826950
19078,417969	-54,127758
19121,484375	-55,579529
19164,550781	-55,292332
19207,617188	-53,779533
19250,683594	-51,767166
19293,750000	-54,978859
19336,816406	-57,432083
19379,882812	-54,560978
19422,949219	-55,718616
19466,015625	-57,377308
19509,082031	-55,002495
19552,148438	-53,351849
19595,214844	-54,020893
19638,281250	-54,028019
19681,347656	-54,205467
19724,414062	-53,937069
